DataBase Sheet (Manager) : https://docs.google.com/spreadsheets/d/1rqPLIFtqHWfkgOXIt27qm77dhEr7lsQ1gPu2oKqGiow/edit?gid=0#gid=0










Category	CategoryIcon	CategoryImage	ItemName	Price	ItemImage	Description																			
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	تفاح	M 40 | L 45																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	يوسفي	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	رمان	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	مانجو	M 45 | L 50																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	خوخ	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	مشمش	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	برقوق	M 45 | L 50																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	تين شوكي	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	كرز	M 50 | L 60																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	جزر	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	حرنكش	M 35 | L 40																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	أوريو	M 45 | L 50																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	بوريو	M 40 | L 45																					
عصائر طبيعية	fa-martini-glass-citrus	Images/fresh.png	آيس شوكليت	M 40 | L 45																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	فراولة + موز	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	فراولة + مانجو	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	فراولة + بوريو	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	فراولة + جوافة	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	بلح + موز	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	بلح + بوريو	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كيوي + أناناس	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كيوي + مانجو	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كيوي + تفاح	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كيوي + موز	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	برتقال + جزر	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	برتقال + أناناس	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	برتقال + يوسفى	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	تين شوكي + مانجو	60																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كوكتيل فواكه	70																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	فيتامين سي	70																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كوكتيل ½ ضربة	80																					
ميكس فواكه	fa-bowl-food	Images/cocktail.png	مانجو بيتش	70		مانجو + خوخ + أيس كريم																			
ميكس فواكه	fa-bowl-food	Images/cocktail.png	باراديس	70		مانجو + أيس كريم + فراولة + جوز هند																			
ميكس فواكه	fa-bowl-food	Images/cocktail.png	مبدلي	70		مانجو + أناناس + أيس كريم + جوز هند																			
ميكس فواكه	fa-bowl-food	Images/cocktail.png	شيكو بنانا	70		موز + أيس كريم + صوص شيكولاتة																			
ميكس فواكه	fa-bowl-food	Images/cocktail.png	كرمينت	80		بوريو + مانجو + قطع موز + قطع تفاح																			
